WOWJ2GdkiM4 444 25 0 1295 204296 0 0
qPU9gOaI_pI 277 25 0 1317 57726 0 0
IS0A9MFhC3A 473 37 0 2850 125051 0 0
WMowQ1H35Yw 62 1 0 95 5528 0 0
BHbQz_9f8LM 940 10 0 2461 135725 0 0
KITF2uVGVmw 195 1263 0 696 1275990 0 0
FmoDoGLXbWQ 493 30 0 1937 182964 0 0
QE7hGPKkyE8 41 1 0 28 1753 0 0
ey8ZcEtFicI 78 11 0 52 8643 0 0
GtsjMu4TpXM 550 75 0 601 372374 0 0
UBsLy5ayHU4 55 6 0 201 63569 0 0
fgtaKuMPDko 35 7 0 8 7090 0 0
rACX5LgcSN4 0 1 0 1 185 0 0
9GlY3ZwJZXc 20 2 0 19 285 0 1
KsYtUmoaCSQ 29 0 0 37 2419 0 0
_naLuRykun8 646 96 0 3308 463464 0 0
O06sFU4vPgc 235 19 0 318 20116 0 0
H7rJEVvpJiU 125 11 0 284 11070 0 0
aySfJGpaPVk 116 13 0 544 48885 0 0
PsdH-TeWGWg 181 0 0 370 16870 0 0
LK87xOODkYU 834 73 0 1954 368647 0 0
cEw6nuQmEOk 76 29 0 215 96094 0 0
zZrxV4VL8yw 46 1 0 104 141783 0 0
Sn2VF_gwgaE 706 1659 0 427 415186 0 0
zWVGSRVeYlg 79 0 0 53 4499 0 0
310RW7j1wAQ 320 396 0 78 20603 0 1
ymZ3_Ao51dg 0 0 0 0 23 0 0
l__r3aFuUyU 8 0 0 13 9526 0 0
LuXYeTicJyg 651 545 0 968 438286 0 0
W4k3hnOTy84 68 5 0 305 97992 0 0
LivEs2fomDs 1676 75 0 1308 815346 0 0
7P7jvdkq1HY 45 6 0 88 65608 1 1
okhmRCYh6sg 1 0 0 4 119 0 0
pXxb0Yj68Dc 309 12 0 590 152309 0 1
_ENpDO0L_QI 292 46 0 514 484421 0 0
57_efxVxxm0 327 21 0 1325 119102 0 0
HqoU5ayZSTA 0 0 0 0 36 0 0
8olAkk2OWF0 105 6 0 205 69319 1 1
Mh_06uli1Qs 11 0 0 7 266 0 0
DwpHYjMXYb4 99 5 0 268 7434 0 0
PYLYyW-cfUE 0 0 0 2 389 1 1
4z3m6TgIGGE 247 40 0 447 313638 0 1
VG-DCG_BXDY 178 29 0 392 33984 0 0
v0BPbhP9XHw 233 16 0 440 14894 0 0
TMupqbrpeGk 70 1 0 103 35497 0 1
u4ncFgi5Qms 81 10 0 36 3874 0 0
62Xgnx0oy-Q 279 19 0 994 362123 0 0
EnZUUzlL60Q 831 22 0 2090 484694 0 0
_NdC-5ktNPg 31 0 0 25 1638 0 0
3ohStz34LQQ 244 4 0 498 19342 0 1
tV7KD1WJwyI 963 256 0 984 229623 1 1
R4omplL4ik4 20 4 0 9 6278 1 1
AojhTY963s8 581 119 0 1499 368860 1 0
OwA9761VXJA 541 35 0 1602 54080 0 2
guDqQWBh_KI 216 29 0 912 122234 0 0
T4qr0oPul5s 0 0 0 0 12 0 0
KlBtbAIoQxI 93 13 0 770 35543 0 1
w-mHXpYsunY 6 2 0 60 9896 0 1
ZZtV9vT5-FU 119 8 0 121 3328 0 0
g-rBp3sawHU 1705 111 0 3910 444736 0 0
P-aTx2dWl7s 465 38 0 3159 187240 0 1
wCHnI8udw9I 0 0 0 0 78 0 0
GTOBFvj5l78 64 2 0 40 13269 0 0
16W82yKIuxs 0 0 0 1 94 0 0
mEXItEgKWwQ 130 16 0 661 141909 0 0
L3sNeZNJPvw 106 1 0 101 14438 0 0
FUJh2uwUR8o 0 0 0 3 64 0 0
3tZsXL0E6XE 90 20 0 388 40561 0 0
WBrguQ93EVw 281 49 0 4234 516266 2 1
sQ2IuqIMXhc 0 0 0 0 19 0 1
LLgnwwsXF0A 78 13 0 193 60254 0 1
SuYlDe_evnk 188 24 0 190 61022 0 0
Y1Ulj8g6vKw 39 11 0 155 72420 1 2
OXc6RqXKo-I 239 10 0 413 139144 0 0
obeNCF0kLtM 73 16 0 286 17574 0 0
3iczxfirBkI 44 4 0 39 639 0 0
50DdxpAv_oY 1040 52 0 4597 462118 0 0
6e9dPoBXnzE 42 11 0 52 26728 0 1
uwAxwApjOTo 433 61 0 2038 364087 0 0
goGZVnVjSdI 28 1 0 44 1524 0 0
EUIKPMaW5sE 708 1337 0 2022 3125545 0 1
rvN2Y4KoTh4 12 3 0 45 41327 0 0
