sNabaB-eb3Y 50 7 0 215 93559 0 0
Vr4D8xO2lBY 435 60 0 843 48934 0 5
wSMh4E3xxdw 217 14 0 603 121136 0 1
rhjIStU0JvI 15 0 0 25 1299 0 0
wvybYNEDQWE 878 19 0 545 79815 0 0
Lr4SS1zxRYg 123 126 0 438 73743 0 0
vX95JgKGu0o 305 40 0 549 23254 0 0
sP3YdfG_Uio 55 7 0 114 4755 1 0
axZ2xvYhOKw 424 42 0 680 227593 0 0
SG2B7dIqbNQ 151 11 0 659 287187 0 0
plieAqK2a00 70 1 0 293 7247 0 0
g2HylVyOyzc 19 0 0 18 882 0 0
wY-1KNh7-NQ 15 2 0 65 7055 0 0
dbEq8b3y8ws 22 6 0 84 59272 0 0
KPP5NbjW9eI 25 1 0 43 34997 0 0
4gDfq2vxyXk 71 10 0 156 50996 1 0
ElL6I6-jjF4 0 0 0 1 549 0 0
g6lJ2k3TCFg 341 86 0 405 55677 0 0
aAjvqy_L3C8 6 0 0 15 29641 0 0
BXPvq89jMUg 8 0 0 28 10629 0 0
Uomk60wP2mI 26 7 0 264 130338 0 0
ot0YhG58PiM 147 16 0 740 835378 0 0
fY_FQMQpjok 23 5 0 145 4853 0 0
Q6MKYbWPX5Y 33 2 0 179 8759 0 0
dRZIWb_Nzwo 64 8 0 150 22150 0 0
GGuqLRDmfhw 8 2 0 4 1011 0 0
kRtbOTXN0FM 207 31 0 533 81237 0 0
psO6_rNKP6g 20 1 0 28 28986 0 0
bfU4rTa-PfQ 56 5 0 85 7417 0 0
z2UzegxUuvI 13 2 0 32 99033 0 0
zbZw7gUlFbk 55 3 0 76 109546 0 1
vG8VLOvMbYM 206 25 0 244 296999 0 0
b_QnFoapqQA 94 36 0 313 229371 0 0
NlYMZ-bWWnE 19 2 0 34 116907 0 0
6VbSUysiQ80 81 3 0 258 39657 0 0
w8UWgufUIv0 40 15 0 247 78118 0 0
T8XTK61DvU0 53 11 0 160 57524 1 1
KJQ81MNPhgM 3 0 0 7 43996 0 0
eDz1Oi8yR3w 12 0 0 23 23252 0 0
GJ5GridOsyo 21 11 0 125 140324 0 0
x0RDtMvsQmg 18 0 0 60 36020 0 0
gR7gg9aH-fo 6 1 0 79 40834 0 0
tWh6fH85fao 140 21 0 265 182506 0 1
qrrAB-wu_8s 3 0 0 3 232 0 0
ihZynQvlZbc 52 1 0 38 22420 0 0
aWRi0s2ofHw 137 27 0 149 17351 0 0
GVG2zhz_KaA 140 2 0 353 144178 0 1
wHOraxZ3RKM 55 7 0 18 16768 0 0
PtTwGA6uVcY 20 18 0 49 24368 0 0
zKAW96N-Vms 59456 6114 0 46419 28139027 0 0
6phXxchGS9w 61 19 0 132 55254 0 0
UPTrASEx_p8 102 5 0 16 1630 1 0
F3jFTzhdZF4 18786 2539 0 36925 8259982 0 0
YxUTSD7rfY0 56 6 0 39 19242 1 3
Ai6DSPPo0VI 13 2 0 45 3084 0 0
gxbZKRbffrY 826 207 0 2725 716046 0 1
udwUnwHJYck 4731 2190 0 7515 2703602 0 0
PkbB-X9654s 4292 778 0 10217 4285881 0 0
APH4k8yyi0M 3427 320 0 10989 369725 0 0
GKE9EsU9U2s 14034 1328 0 10769 1085589 0 0
1bXeQ7baYEE 10186 1242 0 24742 2718413 0 0
MQZFCmMDr3U 13412 6268 0 3702 3928010 0 0
bdY7Adc1LRM 4215 220 0 9482 722300 0 0
ypIbTpnuNgg 55511 10837 0 15407 12331792 0 0
m7dnGo_2tZA 9727 1758 0 22419 2919108 0 0
p4y16qyyWgc 8649 4233 0 2437 1079204 0 0
BRI-A3vakVg 13767 572 0 9313 2656510 0 0
F0KLzG6jLMs 3922 778 0 9510 949737 0 0
ddXBHtKvjCc 5595 275 0 3876 1259643 0 0
nPa8LGBXg48 7746 3430 0 5876 1676747 1 1
2J72b8_DavU 8665 1318 0 12499 759718 0 0
mH2jU8yMQhM 16352 1396 0 7742 2870336 0 0
7O5Wu948TH4 4978 1347 0 19208 12025887 0 0
2T_obaO46Bo 16916 566 0 21571 6318319 0 0
x-OqKWXirsU 11866 873 0 12807 6153935 0 0
wtJDy3WuUQM 51850 2363 0 76112 9783374 0 0
meYYeIPX6eE 4071 245 0 12716 411771 0 2
I5pR5nRdxaQ 7471 1891 0 6610 422894 0 0
bV0M9_NwMHY 9195 529 0 16508 1332776 0 0
k2H-SOqbQoA 9901 803 0 46555 8114580 0 0
8Ydg8Fb8H7M 76 7 0 111 186115 0 0
7vFefeRSmi8 21 9 0 36 30606 0 0
VESnbnjgD4s 168 11 0 266 34855 1 0
QjsPFDOIp04 3647 305 0 5683 2236570 0 1
bjCDLMtkNGc 714 129 0 2578 710192 0 0
W0-esOKooEE 10182 1304 0 11683 2693894 0 0
QJxzsPze8XI 781 65 0 549 67774 0 0
3C9Bng7NPPY 721 29 0 710 569139 0 0
2PuKM-oZxLk 1103 30 0 1781 801731 0 0
VboX2DLkDD0 2477 409 0 4488 3243391 0 0
_JUFCMS_910 659 118 0 1288 376837 1 2
EHCqz-J51IU 16796 2180 0 20109 2829296 0 0
1YCVj2ULV8E 623 140 0 522 222292 0 0
CbuYb6lLHX8 30407 2206 0 78297 8899386 0 0
L1BDM1oBRJ8 2318 502 0 11943 3518323 0 0
qV6wAJVCVus 738 133 0 473 345641 0 0
DgiUAFN3ang 804 321 0 1545 1205255 0 0
Hjv9OvASlcY 3841 353 0 6061 483332 0 0
2jpauryqCpU 1429 90 0 1999 1004714 1 2
rOfsU9yGpAg 4329 230 0 13191 777714 0 0
xB7iz1HTh9U 24806 963 0 30740 15695682 0 0
BUS6nKpddec 26955 1029 0 60373 17971425 0 1
FfWrvrBY6Mo 990 33 0 298 383964 1 2
39NV1EZvVgk 81 24 0 76 11010 0 0
i-3cuCEt9k8 2019 99 0 2941 1885229 0 0
pEHxtbPyR5g 840 76 0 462 381711 0 0
SLAItPi3ef0 722 16 0 939 404888 0 1
drXG1dhVrVI 730 66 0 787 308737 0 0
stblRudM-4I 1227 69 0 941 631094 0 0
kB6YpvTu8kI 1654 187 0 448 73850 0 0
1IXa4mBP0Ww 1242 79 0 1461 553641 0 0
et_MmlTxMXA 1734 219 0 12295 1287052 0 0
C9GRApeZ-_w 2482 96 0 1744 4026029 0 0
MBCi7oDb-Kk 3883 503 0 6626 1720821 0 11
K4zpeqFjTaw 711 114 0 328 517334 0 1
sNjnGstRk-k 610 51 0 414 62380 0 0
FRkgq4QTR9Q 608 151 0 884 733084 1 1
